7.24	6.77	10.92	11.63
7.13	6.79	10.92	11.63
7.13	6.88	12.30	11.63
7.24	6.77	10.91	11.63
7.13	6.77	10.92	11.63
7.13	6.88	12.30	11.63
7.24	6.77	10.91	11.63
7.13	6.88	12.28	11.63
7.24	6.77	10.91	11.63
7.13	6.77	10.92	11.63
7.13	6.89	12.28	11.63
7.24	6.77	10.92	11.63
7.13	6.77	10.92	11.63
7.13	6.88	11.27	11.63
7.13	6.89	11.27	11.63
7.13	6.88	11.27	11.63
7.13	6.89	11.27	11.63
7.13	6.88	10.92	11.63
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.80	11.52
7.13	6.88	10.82	11.52
7.24	6.88	10.80	11.52
7.24	6.88	10.82	11.52
7.24	6.89	10.82	11.51
7.24	6.88	10.82	11.52
7.24	6.88	10.82	11.52
7.24	6.88	10.82	11.52
7.24	6.77	10.82	11.52
7.24	6.77	10.80	11.52
7.24	6.77	10.82	11.52
7.24	6.77	10.82	11.63
7.24	6.77	10.80	11.63
7.24	6.77	10.82	11.63
7.24	6.77	10.80	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.91	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.17	6.77	10.92	11.63
7.13	6.88	11.27	11.63
7.13	6.88	11.27	11.63
7.13	6.88	12.30	11.63
7.13	6.77	10.92	11.63
7.13	6.88	11.27	11.63
7.13	6.88	11.27	11.63
7.13	6.88	11.25	11.63
7.13	6.88	10.91	11.63
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.51
7.13	6.88	10.92	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.80	11.52
7.13	6.88	10.82	11.52
7.24	6.88	10.80	11.52
7.24	6.88	10.80	11.52
7.24	6.88	10.82	11.52
7.24	6.88	10.82	11.52
7.24	6.88	10.80	11.52
7.24	6.88	10.82	11.51
7.24	6.77	10.82	11.52
7.24	6.77	10.82	11.52
7.24	6.77	10.82	11.54
7.24	6.77	10.80	11.63
7.24	6.77	10.82	11.63
7.24	6.77	10.80	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.91	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.13	6.83	10.92	11.63
7.13	6.88	11.27	11.63
7.13	6.88	11.25	11.63
7.13	6.88	10.92	11.63
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.92	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.82	11.52
7.24	6.88	12.54	11.52
7.13	6.88	10.80	11.52
7.13	6.88	10.82	11.52
7.24	6.88	10.80	11.52
7.24	6.88	10.82	11.52
7.24	6.88	10.82	11.87
7.24	6.88	10.80	11.52
7.24	6.88	10.82	11.52
7.24	6.88	10.82	11.52
7.24	6.77	10.82	11.51
7.24	6.77	10.82	11.52
7.24	6.77	10.82	11.52
7.24	6.77	10.82	11.63
7.24	6.77	10.82	11.63
7.24	6.77	10.82	11.63
7.24	6.77	10.82	11.63
7.24	6.77	10.91	11.97
7.24	6.77	10.92	11.97
7.24	6.77	10.92	11.97
7.24	6.77	11.27	11.63
7.24	6.77	10.92	11.97
7.24	6.77	10.92	11.97
7.24	6.77	11.27	11.63
7.24	6.77	10.92	11.97
7.24	6.77	10.91	11.97
7.24	6.77	10.92	11.97
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.24	6.77	10.92	11.63
7.13	6.88	11.25	11.63
5.81	6.88	10.92	10.15
7.13	6.89	10.92	11.52
7.13	6.88	10.80	11.52
7.13	6.88	10.82	11.52
7.13	6.88	10.80	11.52
7.13	6.88	10.82	11.51
7.22	6.88	11.16	11.87
7.13	6.88	10.82	11.52
7.24	6.88	11.16	11.87
7.24	6.88	11.16	11.85
7.24	6.88	11.15	11.87
7.24	6.88	11.16	11.87
5.93	6.88	10.80	11.87
5.93	5.57	10.82	10.26
5.93	5.47	10.91	10.26
5.83	5.57	10.92	10.15
5.83	6.88	10.82	11.87
5.93	5.59	10.82	10.15
5.93	5.47	10.80	10.26
5.93	6.77	10.92	11.97
5.87	5.57	11.27	11.87
5.83	5.57	11.15	11.87
5.83	5.57	11.15	11.87
5.93	5.57	11.16	11.87
5.93	5.49	11.16	11.85
5.93	6.77	11.15	11.97
5.93	5.47	11.25	11.97
5.93	5.57	11.27	11.97
5.83	5.57	11.20	11.85
5.83	5.59	11.16	11.87
5.93	6.88	11.15	11.87
5.93	5.57	11.15	11.87
5.93	5.47	11.15	11.87
5.93	5.49	11.27	11.97
5.93	5.52	11.27	11.97
5.83	5.57	11.27	11.87
5.83	5.59	11.16	11.85
5.83	6.88	11.16	11.87
5.93	6.88	11.16	11.87
5.93	5.57	11.15	11.87
5.93	5.47	11.16	11.87
5.93	5.49	11.22	10.26
5.93	5.59	11.27	11.87
5.83	5.59	11.16	11.87
5.83	5.59	11.15	11.87
5.93	5.59	11.15	11.87
5.93	5.51	11.15	11.87
5.93	5.47	11.15	11.97
5.93	5.47	11.27	11.97
5.93	5.57	11.27	11.87
5.83	6.88	11.25	11.87
5.83	5.57	11.16	11.87
5.93	6.88	11.15	11.85
5.93	5.57	11.16	11.87
5.93	5.51	11.16	11.87
5.93	5.47	11.16	11.97
5.93	5.47	11.27	11.97
5.93	5.57	11.27	11.87
5.83	5.57	11.16	11.87
5.83	5.57	11.15	11.87
5.93	5.57	11.16	11.87
5.93	5.49	11.16	11.87
5.93	5.47	11.15	11.97
5.93	5.47	11.25	11.97
5.93	5.57	11.27	11.87
5.83	5.57	11.16	11.87
5.83	5.59	11.16	11.87
5.93	5.57	11.16	11.87
5.93	5.47	11.15	11.87
