7.86	-0.15	14.53	0.70	0.13	90
7.75	-0.28	14.51	0.55	0.23	90
7.70	-0.31	14.49	0.38	0.21	90
7.70	-0.27	14.48	0.25	0.14	90
7.76	-0.16	14.48	0.14	0.05	90
7.85	-0.01	14.50	0.04	0.00	90
7.94	0.12	14.55	-0.05	0.02	90
8.03	0.22	14.61	-0.16	0.08	90
8.12	0.28	14.68	-0.27	0.15	90
8.20	0.29	14.70	-0.30	0.17	90
8.27	0.28	14.69	-0.25	0.15	90
8.35	0.27	14.63	-0.11	0.11	90
8.46	0.29	14.51	0.14	0.04	90
8.56	0.30	14.36	0.43	-0.04	90
8.69	0.33	14.19	0.69	-0.12	0
8.82	0.36	14.02	0.89	-0.19	0
8.92	0.38	13.88	1.00	-0.24	0
8.94	0.33	13.82	0.91	-0.19	0
8.90	0.22	13.83	0.70	-0.11	0
8.78	0.06	13.91	0.37	-0.02	0
8.60	-0.14	14.03	-0.01	0.02	0
8.42	-0.33	14.13	-0.34	-0.00	0
8.27	-0.45	14.19	-0.49	-0.02	0
8.16	-0.49	14.20	-0.49	0.00	0
8.10	-0.45	14.16	-0.34	0.05	0
8.12	-0.32	14.11	-0.11	0.07	0
8.16	-0.17	14.06	0.10	0.05	0
8.24	-0.02	14.03	0.22	0.00	0
8.37	0.14	13.98	0.30	-0.02	0
8.52	0.28	13.91	0.34	-0.02	0
8.67	0.37	13.81	0.39	-0.01	0
8.82	0.43	13.69	0.50	-0.03	0
8.91	0.44	13.55	0.63	-0.08	0
8.91	0.36	13.46	0.69	-0.12	0
8.82	0.20	13.41	0.66	-0.09	0
8.66	-0.01	13.42	0.52	0.00	0
8.47	-0.23	13.47	0.28	0.12	90
8.36	-0.37	13.55	-0.00	0.13	90
8.35	-0.37	13.63	-0.22	0.05	90
8.46	-0.24	13.68	-0.36	-0.03	90
8.66	0.00	13.69	-0.36	0.00	90
8.88	0.27	13.64	-0.22	0.13	90
9.06	0.46	13.54	0.02	0.20	90
9.18	0.55	13.39	0.31	0.13	90
9.24	0.52	13.23	0.60	-0.04	90
9.23	0.38	13.12	0.76	-0.15	0
9.18	0.20	13.06	0.77	-0.12	0
9.11	0.04	13.05	0.64	-0.02	0
9.05	-0.08	13.11	0.37	0.04	0
9.03	-0.14	13.20	0.04	0.03	0
9.06	-0.11	13.29	-0.23	-0.01	0
9.13	-0.04	13.36	-0.40	-0.01	0
9.22	0.07	13.40	-0.46	0.04	0
9.29	0.16	13.40	-0.39	0.09	0
9.31	0.19	13.38	-0.24	0.08	0
9.29	0.16	13.34	-0.07	0.03	0
9.24	0.07	13.25	0.14	-0.01	0
9.19	-0.02	13.14	0.34	0.01	0
9.18	-0.08	13.02	0.51	0.04	0
9.20	-0.07	12.90	0.65	0.05	0
9.28	-0.01	12.78	0.75	0.01	0
9.37	0.09	12.70	0.73	-0.06	0
9.47	0.19	12.66	0.64	-0.08	0
9.56	0.26	12.66	0.48	-0.06	0
9.65	0.30	12.71	0.26	0.01	0
9.72	0.29	12.78	-0.00	0.09	0
9.76	0.26	12.86	-0.22	0.12	90
9.79	0.21	12.95	-0.38	0.13	90
9.79	0.15	13.00	-0.46	0.09	90
9.77	0.08	13.01	-0.40	0.04	90
9.74	0.02	12.96	-0.24	0.01	90
9.71	-0.03	12.87	-0.00	0.00	90
9.67	-0.08	12.76	0.26	0.03	90
9.64	-0.10	12.68	0.44	0.06	90
9.61	-0.11	12.65	0.47	0.06	90
9.59	-0.10	12.68	0.37	0.05	90
9.59	-0.08	12.75	0.15	0.02	90
9.62	-0.03	12.82	-0.09	-0.00	90
9.67	0.02	12.86	-0.25	0.01	90
9.74	0.09	12.87	-0.29	0.03	90
9.81	0.15	12.87	-0.25	0.06	90
9.88	0.19	12.87	-0.15	0.06	90
9.93	0.20	12.89	-0.09	0.06	90
9.96	0.19	12.93	-0.09	0.05	90
9.95	0.15	12.99	-0.15	0.04	90
9.92	0.07	13.01	-0.19	0.02	90
9.86	-0.01	13.01	-0.19	-0.00	90
9.79	-0.09	12.96	-0.10	-0.00	90
9.73	-0.15	12.91	0.03	0.03	90
9.72	-0.16	12.88	0.15	0.05	90
9.75	-0.11	12.88	0.18	0.03	90
9.83	-0.02	12.92	0.11	0.00	90
9.93	0.10	12.96	0.00	0.01	90
10.00	0.18	12.98	-0.09	0.05	90
10.02	0.21	12.94	-0.09	0.06	90
9.99	0.16	12.85	0.04	0.02	90
9.94	0.07	12.70	0.30	-0.02	90
