10.60	0.15	8.93	0.78	-0.10	0
10.60	0.14	8.71	1.07	-0.13	0
10.57	0.09	8.53	1.25	-0.10	0
10.51	0.01	8.38	1.28	-0.01	0
10.47	-0.06	8.29	1.17	0.07	0
10.47	-0.08	8.27	0.88	0.08	0
10.54	-0.04	8.29	0.57	0.02	0
10.67	0.07	8.33	0.26	-0.01	0
10.84	0.22	8.38	-0.00	0.05	0
10.97	0.33	8.42	-0.18	0.17	90
11.04	0.38	8.43	-0.22	0.22	90
11.04	0.33	8.42	-0.18	0.17	90
11.00	0.22	8.43	-0.13	0.08	90
10.96	0.08	8.49	-0.14	0.02	90
10.95	-0.01	8.61	-0.25	-0.00	90
10.99	-0.03	8.80	-0.48	-0.01	90
11.06	0.01	8.99	-0.76	0.01	90
11.12	0.08	9.09	-0.89	0.07	90
11.14	0.12	9.09	-0.81	0.11	90
11.13	0.12	8.98	-0.49	0.07	90
11.11	0.08	8.79	0.01	0.01	90
11.10	0.03	8.61	0.50	-0.01	90
11.11	-0.00	8.49	0.81	0.00	90
11.15	0.01	8.44	0.87	-0.01	90
11.22	0.06	8.43	0.74	-0.04	90
11.28	0.11	8.43	0.49	-0.04	90
11.33	0.15	8.39	0.30	-0.02	90
11.35	0.16	8.31	0.24	-0.01	90
11.37	0.14	8.21	0.30	-0.02	90
11.38	0.11	8.16	0.36	-0.03	90
11.41	0.08	8.16	0.36	-0.02	90
11.44	0.08	8.22	0.23	-0.01	90
11.48	0.09	8.31	0.00	0.01	90
11.50	0.09	8.38	-0.22	0.03	90
11.50	0.08	8.41	-0.33	0.03	90
11.47	0.04	8.38	-0.30	0.01	90
11.43	-0.01	8.33	-0.14	-0.00	90
11.41	-0.05	8.27	0.05	0.00	90
11.40	-0.07	8.24	0.18	0.02	90
11.42	-0.05	8.24	0.21	0.01	90
11.47	-0.00	8.27	0.15	0.00	90
11.53	0.06	8.30	0.04	0.00	90
11.60	0.13	8.31	-0.05	0.02	90
11.67	0.18	8.30	-0.08	0.05	90
11.75	0.22	8.27	-0.04	0.06	90
11.79	0.22	8.25	0.03	0.04	90
11.81	0.19	8.23	0.09	0.02	90
11.83	0.15	8.22	0.11	0.01	90
11.89	0.15	8.22	0.11	0.01	90
12.01	0.18	8.22	0.07	0.02	90
12.21	0.28	8.22	0.04	0.07	90
12.47	0.44	8.20	0.04	0.18	90
12.73	0.60	8.14	0.11	0.29	90
12.86	0.65	8.03	0.25	0.25	90
12.85	0.56	7.88	0.46	0.05	90
12.70	0.33	7.68	0.71	-0.13	0
12.47	-0.00	7.46	0.99	0.00	0
12.26	-0.31	7.30	1.12	0.45	90
12.15	-0.47	7.19	1.12	0.75	90
